x y z
0.55 0.159 2
0.55 0.164 2
0.552 0.188 2
0.553 0.148 2
0.558 0.163 2
0.56 0.156 2
0.56 0.198 3
0.561 0.189 2
0.563 0.182 2
0.141 0.078 3
0.566 0.113 2
0.569 0.101 2
0.569 0.186 2
0.57 0.195 3
0.571 0.113 2
0.573 0.106 2
0.574 0.165 2
0.578 0.123 2
0.578 0.168 2
0.58 0.116 2
0.143 0.024 3
0.58 0.145 2
0.58 0.178 3
0.58 0.107 2
0.583 0.146 2
0.585 0.129 2
0.587 0.122 2
0.589 0.152 3
0.592 0.194 3
0.593 0.163 3
0.596 0.101 2
0.143 0.066 3
0.008 0.095 3
0.597 0.152 3
0.598 0.148 3
0.603 0.161 3
0.604 0.147 3
0.605 0.125 2
0.607 0.17 3
0.611 0.16 3
0.611 0.1 2
0.613 0.146 3
0.614 0.157 3
0.144 0.097 2
0.616 0.116 3
0.617 0.178 3
0.617 0.197 3
0.618 0.133 3
0.618 0.16 3
0.619 0.114 3
0.619 0.124 3
0.619 0.146 3
0.621 0.135 3
0.622 0.149 3
0.144 0.014 2
0.625 0.106 3
0.625 0.12 3
0.625 0.138 3
0.626 0.197 3
0.629 0.193 3
0.63 0.154 3
0.63 0.182 3
0.631 0.196 3
0.633 0.157 2
0.633 0.113 3
0.145 0.029 2
0.633 0.131 3
0.634 0.116 3
0.635 0.185 3
0.636 0.198 3
0.636 0.178 3
0.636 0.188 3
0.639 0.102 3
0.639 0.154 2
0.64 0.115 3
0.641 0.197 3
0.146 0.043 3
0.641 0.135 3
0.642 0.183 3
0.644 0.117 3
0.644 0.198 3
0.645 0.178 3
0.645 0.144 2
0.645 0.187 3
0.647 0.196 3
0.648 0.19 3
0.649 0.163 3
0.147 0.013 3
0.651 0.167 3
0.652 0.195 3
0.652 0.178 3
0.654 0.116 3
0.655 0.195 3
0.657 0.1 3
0.658 0.122 3
0.658 0.135 2
0.658 0.197 3
0.659 0.168 3
0.149 0.063 3
0.66 0.184 3
0.661 0.112 3
0.662 0.125 3
0.663 0.165 3
0.663 0.192 3
0.666 0.187 3
0.666 0.105 3
0.666 0.149 2
0.666 0.173 3
0.666 0.196 3
0.149 0.028 3
0.668 0.111 3
0.668 0.13 3
0.67 0.125 3
0.671 0.115 3
0.672 0.177 3
0.672 0.102 3
0.673 0.192 3
0.674 0.119 3
0.674 0.186 3
0.674 0.114 3
0.154 0.057 3
0.676 0.198 3
0.678 0.103 3
0.68 0.162 2
0.68 0.14 3
0.682 0.107 3
0.682 0.179 3
0.682 0.189 3
0.685 0.159 2
0.685 0.18 2
0.686 0.133 3
0.156 0.042 3
0.686 0.194 3
0.687 0.104 3
0.688 0.12 3
0.693 0.138 3
0.693 0.123 3
0.696 0.108 3
0.696 0.116 3
0.698 0.18 2
0.7 0.179 2
0.701 0.135 3
0.157 0.081 3
0.009 0.036 3
0.701 0.166 2
0.701 0.106 3
0.701 0.111 3
0.705 0.116 3
0.706 0.124 3
0.708 0.174 2
0.709 0.135 1
0.709 0.123 1
0.71 0.119 3
0.71 0.105 3
0.158 0.045 3
0.71 0.128 3
0.711 0.146 3
0.713 0.152 2
0.714 0.101 2
0.716 0.146 3
0.717 0.138 3
0.717 0.178 2
0.722 0.139 1
0.723 0.146 1
0.724 0.1 3
0.159 0.015 3
0.725 0.121 3
0.726 0.136 1
0.727 0.176 2
0.727 0.127 2
0.729 0.1 3
0.729 0.116 3
0.729 0.111 3
0.729 0.142 3
0.733 0.192 2
0.734 0.148 1
0.161 0.048 3
0.734 0.13 3
0.736 0.14 1
0.736 0.111 3
0.739 0.153 3
0.74 0.115 3
0.74 0.109 3
0.741 0.139 1
0.742 0.151 3
0.744 0.179 2
0.746 0.102 3
0.161 0.087 2
0.748 0.133 2
0.748 0.171 2
0.749 0.117 2
0.753 0.102 3
0.755 0.197 3
0.755 0.134 2
0.756 0.163 3
0.757 0.147 3
0.758 0.118 2
0.759 0.155 2
0.162 0.012 3
0.76 0.101 2
0.764 0.132 3
0.765 0.164 2
0.765 0.104 3
0.768 0.161 2
0.768 0.168 2
0.77 0.137 2
0.77 0.141 2
0.77 0.195 3
0.772 0.108 2
0.163 0.001 3
0.773 0.119 3
0.774 0.124 2
0.776 0.187 3
0.777 0.176 2
0.778 0.136 3
0.778 0.193 2
0.78 0.174 2
0.781 0.198 2
0.782 0.179 2
0.784 0.167 2
0.163 0.053 3
0.786 0.117 3
0.786 0.108 3
0.786 0.136 3
0.787 0.101 3
0.791 0.117 3
0.794 0.113 3
0.794 0.119 3
0.795 0.157 3
0.796 0.145 3
0.797 0.123 2
0.163 0.076 3
0.797 0.192 3
0.798 0.135 3
0.798 0.195 3
0.798 0.198 3
0.8 0.118 2
0.801 0.143 3
0.801 0.198 3
0.801 0.105 2
0.801 0.135 3
0.802 0.188 3
0.163 0.059 3
0.804 0.124 2
0.805 0.167 2
0.805 0.197 3
0.805 0.172 3
0.806 0.101 3
0.807 0.143 2
0.807 0.195 3
0.808 0.107 3
0.809 0.154 3
0.809 0.171 3
0.163 0.02 3
0.01 0.059 3
0.81 0.148 3
0.811 0.125 2
0.816 0.142 2
0.817 0.174 3
0.817 0.168 3
0.819 0.162 3
0.82 0.197 3
0.82 0.19 3
0.822 0.169 3
0.823 0.158 3
0.164 0.023 3
0.823 0.118 2
0.824 0.132 2
0.826 0.15 2
0.827 0.144 2
0.828 0.154 2
0.829 0.192 3
0.829 0.132 2
0.832 0.1 3
